date,type,time,duration,Note
9/15/16,wet,8:40,,
9/15/16,feed,8:40,20,L
9/15/16,wet,9:00,,
9/15/16,wet,9:30,,
9/15/16,poop,9:45,,
9/15/16,nap,10:15,40,
9/15/16,wet,11:00,,
9/15/16,feed,11:10,15,R
9/15/16,nap,12:30,35,
9/15/16,wet,13:15,,
9/15/16,feed,13:20,20,L
9/15/16,nap,14:10,30,
9/15/16,wet,15:00,,
9/15/16,feed,15:30,25,R
9/15/16,poop,16:00,,
9/15/16,nap,17:05,20,
9/15/16,wet,17:30,,
9/15/16,feed,17:40,20,L
9/15/16,feed,19:50,40,L20R20
9/15/16,sleep,20:30,490,
9/15/16,wet,3:30,,
9/15/16,feed,3:30,,R
9/15/16,sleep,4:00,210,
9/16/16,wet,7:30,,
9/16/16,feed,7:35,15,L
9/16/16,poop,8:00,,
9/16/16,nap,9:05,65,
9/16/16,wet,10:15,,
9/16/16,poop,10:45,,
9/16/16,nap,11:40,30,
9/16/16,wet,12:10,,
9/16/16,feed,12:30,20,R5L15
9/16/16,wet,13:00,,
9/16/16,nap,13:30,40,
9/16/16,poop,14:10,,
9/16/16,feed,15:00,30,R
9/16/16,poop,15:40,,
9/16/16,wet,16:00,,
9/16/16,feed,17:00,20,L
9/16/16,poop,17:30,,
9/16/16,nap,17:45,60,
9/16/16,feed,19:30,40,R20L20
9/16/16,sleep,20:30,420,
9/16/16,feed,3:30,,R
9/16/16,sleep,4:00,210,
9/17/16,feed,7:30,20,L
9/17/16,wet,7:30,,
9/17/16,nap,8:30,80,
9/17/16,poop,9:55,,
9/17/16,feed,10:28,,R
9/17/16,wet,11:20,,
9/17/16,poop,11:30,,
9/17/16,nap,11:40,50,
9/17/16,feed,13:00,30,L
9/17/16,poop,13:30,,
9/17/16,wet,13:45,,
9/17/16,nap,14:00,30,car seat
9/17/16,feed,15:30,15,R
9/17/16,wet,15:45,,
9/17/16,nap,17:30,90,car seat
9/17/16,feed,19:20,35,L20R15
9/17/16,sleep,20:00,470,
9/17/16,feed,3:50,,R
9/17/16,wet,4:00,,
9/17/16,poop,4:10,,
9/17/16,sleep,4:30,285,
9/18/16,feed,9:15,20,R
9/18/16,poop,9:30,,
9/18/16,nap,10:15,50,church
9/18/16,feed,12:15,,L
9/18/16,wet,12:30,,
9/18/16,poop,13:00,,
9/18/16,nap,13:20,10,
9/18/16,wet,14:40,,R
9/18/16,feed,14:50,,
9/18/16,wet,16:00,,
9/18/16,wet,16:30,,
9/18/16,poop,17:30,,
9/18/16,feed,18:30,30,R10L20
9/18/16,sleep,19:00,390,
9/18/16,feed,1:30,,R
9/18/16,sleep,2:00,240,
9/19/16,feed,6:00,,L
9/19/16,poop,8:00,,
9/19/16,feed,8:30,5,R
9/19/16,nap,9:00,30,
9/19/16,wet,10:00,,
9/19/16,wet,10:30,,
9/19/16,feed,10:30,,BM 4 oz
9/19/16,poop,10:45,,
9/19/16,nap,11:40,35,
9/19/16,feed,13:00,20,L
9/19/16,poop,13:45,,
9/19/16,wet,13:15,,
9/19/16,nap,14:40,50,car seat
9/19/16,feed,16:50,20,R
9/19/16,poop,17:00,,
9/19/16,poop,17:30,,
9/19/16,feed,19:20,30,R20L10
9/19/16,sleep,20:00,270,
9/19/16,feed,0:30,,R
9/19/16,sleep,1:00,150,
9/19/16,feed,3:30,,L
9/19/16,sleep,4:00,240,
9/20/16,wet,8:00,,
9/20/16,feed,8:00,,
9/20/16,poop,8:30,,
9/20/16,wet,8:45,,
9/20/16,wet,10:30,,
9/20/16,feed,10:30,,3oz
9/20/16,nap,11:40,30,
9/20/16,poop,12:30,,
9/20/16,feed,13:00,,4oz
9/20/16,nap,13:45,55,
9/20/16,poop,14:25,,
9/20/16,feed,15:30,,4oz
9/20/16,poop,16:40,,
9/20/16,nap,16:40,50,
9/20/16,wet,17:30,,
9/20/16,feed,17:30,12,L
9/20/16,wet,19:00,,
9/20/16,feed,19:40,35,R20L15
9/20/16,wet,20:50,,
9/20/16,sleep,21:00,430,
9/20/16,wet,4:00,,
9/20/16,feed,4:00,,R
9/20/16,sleep,4:30,180,
9/21/16,feed,7:30,,L
9/21/16,poop,7:30,,
9/21/16,wet,8:00,,
9/21/16,nap,9:00,30,
9/21/16,feed,10:00,,4oz
9/21/16,poop,10:13,,
9/21/16,nap,11:20,15,
9/21/16,wet,12:15,,
9/21/16,feed,12:30,,4oz
9/21/16,nap,12:55,15,
9/21/16,wet,14:15,,
9/21/16,nap,14:30,60,bouncer
9/21/16,feed,15:30,,3.5oz
9/21/16,poop,16:13,,
9/21/16,feed,17:30,,R
9/21/16,nap,18:30,140,
9/21/16,feed,20:50,20,L
9/21/16,sleep,21:10,260,
9/21/16,feed,1:30,20,R
9/21/16,sleep,1:50,340,
9/22/16,wet,7:30,,
9/22/16,feed,7:30,10,L
9/22/16,poop,8:00,,
9/22/16,wet,8:30,,
9/22/16,nap,9:00,30,
9/22/16,wet,10:00,,
9/22/16,feed,10:00,15,R
9/22/16,poop,10:30,,
9/22/16,wet,11:00,,
9/22/16,nap,11:10,55,
9/22/16,wet,12:10,,
9/22/16,feed,12:30,,L
9/22/16,poop,13:00,,
9/22/16,wet,13:30,,
9/22/16,nap,13:50,40,
9/22/16,feed,14:50,30,R
9/22/16,nap,16:00,90,
9/22/16,poop,17:30,,
9/22/16,wet,19:30,,
9/22/16,feed,19:50,,LR
9/22/16,poop,20:00,,
9/22/16,sleep,20:20,310,
9/22/16,wet,2:30,,
9/22/16,feed,2:30,,R
9/22/16,sleep,3:00,270,
9/23/16,wet,7:30,,
9/23/16,feed,7:30,10,L
9/23/16,poop,7:45,,
9/23/16,wet,9:00,,
9/23/16,nap,9:15,100,
9/23/16,wet,11:00,,
9/23/16,poop,11:30,,
9/23/16,nap,11:55,30,
9/23/16,wet,12:25,,
9/23/16,poop,13:00,,
9/23/16,feed,13:10,NA,L
9/23/16,feed,15:00,20,R
9/23/16,nap,16:30,130,
9/23/16,feed,18:40,NA,L
9/23/16,wet,18:50,,
9/23/16,feed,20:30,NA,R
9/23/16,wet,20:50,,
9/23/16,sleep,21:00,450,
9/23/16,wet,4:30,,
9/23/16,sleep,5:00,180,
9/24/16,feed,8:30,30,BM 2.5 + formula 2
9/24/16,wet,8:30,,
9/24/16,poop,9:00,,
9/24/16,nap,9:30,30,
9/24/16,feed,11:30,10,R
9/24/16,wet,11:30,,
9/24/16,wet,12:30,,
9/24/16,nap,12:40,20,
9/24/16,feed,14:00,NA,R
9/24/16,poop,14:30,,
9/24/16,nap,14:30,90,
9/24/16,wet,16:30,,
9/24/16,feed,16:30,NA,L
9/24/16,feed,19:30,NA,R
9/24/16,wet,19:30,,
9/24/16,sleep,20:00,450,
9/24/16,feed,3:30,NA,L
9/24/16,wet,3:30,,
9/24/16,wet,4:00,,
9/24/16,sleep,4:00,210,
9/25/16,wet,7:42,,
9/25/16,feed,7:45,14,R
9/25/16,poop,8:10,,
9/25/16,wet,9:00,,
9/25/16,nap,9:00,30,
9/25/16,wet,9:35,,
9/25/16,feed,10:45,15,L
9/25/16,wet,11:26,,
9/25/16,nap,11:44,30,
9/25/16,wet,12:52,,
9/25/16,feed,12:55,27,R
9/25/16,nap,14:00,30,car seat
9/25/16,poop,14:10,,
9/25/16,wet,15:00,,
9/25/16,nap,15:40,70,car seat
9/25/16,feed,16:55,15,L
9/25/16,wet,17:10,,
9/25/16,wet,18:35,,
9/25/16,sleep,20:15,375,
9/25/16,wet,2:30,,
9/25/16,feed,2:30,30,R
9/25/16,sleep,3:00,240,
9/26/16,wet,7:30,,
9/26/16,feed,7:40,20,R
